FID;Z_Normalized;BLUE_N;GREEN_N;RED_N;NIR_N
85;0,274509804;0,195729537;0,546116505;0,241534989;0,848866499
86;0,274509804;0,195729537;0,546116505;0,241534989;0,848866499
87;0,281045752;0,195729537;0,546116505;0,241534989;0,848866499
88;0,261437908;0,195729537;0,546116505;0,241534989;0,848866499
89;0,281045752;0,377224199;0,533980583;0,239277652;0,742233417
90;0,281045752;0,377224199;0,533980583;0,239277652;0,742233417
91;0,261437908;0,377224199;0,533980583;0,239277652;0,742233417
92;0,281045752;0,377224199;0,533980583;0,239277652;0,742233417
93;0,267973856;0,377224199;0,533980583;0,239277652;0,742233417
94;0,261437908;0,377224199;0,533980583;0,239277652;0,742233417
95;0,267973856;0,377224199;0,533980583;0,239277652;0,742233417
96;0,267973856;0,377224199;0,533980583;0,239277652;0,742233417
97;0,254901961;0,377224199;0,533980583;0,239277652;0,742233417
98;0,267973856;0,377224199;0,533980583;0,239277652;0,742233417
99;0,267973856;0,377224199;0,533980583;0,239277652;0,742233417
100;0,261437908;0,377224199;0,533980583;0,239277652;0,742233417
101;0,248366013;0,377224199;0,533980583;0,239277652;0,742233417
102;0,254901961;0,377224199;0,533980583;0,239277652;0,742233417
103;0,254901961;0,377224199;0,533980583;0,239277652;0,742233417
104;0,248366013;0,377224199;0,533980583;0,239277652;0,742233417
105;0,254901961;0,377224199;0,533980583;0,239277652;0,742233417
106;0,235294118;0,377224199;0,533980583;0,239277652;0,742233417
107;0,22875817;0,377224199;0,533980583;0,239277652;0,742233417
108;0,22875817;0,377224199;0,533980583;0,239277652;0,742233417
109;0,248366013;0,377224199;0,533980583;0,239277652;0,742233417
110;0,31372549;0,377224199;0,533980583;0,239277652;0,742233417
111;0,274509804;0,377224199;0,533980583;0,239277652;0,742233417
112;0,333333333;0,377224199;0,533980583;0,239277652;0,742233417
113;0,22875817;0,377224199;0,533980583;0,239277652;0,742233417
114;0,241830065;0,377224199;0,533980583;0,239277652;0,742233417
115;0,254901961;0,377224199;0,533980583;0,239277652;0,742233417
116;0,235294118;0,377224199;0,533980583;0,239277652;0,742233417
